Device Name,IP Address,Latency (ms),Packet Loss (%),Timestamp
Google DNS,8.8.8.8,46.1299,0.0,2026-05-06 10:32:50
Local Machine,127.0.0.1,0.729799,0.0,2026-05-06 10:32:50
Localhost,127.0.0.1,1.12677,0.0,2026-05-06 10:32:47
Router1,8.8.8.8,51.2886,0.0,2026-05-06 10:32:46
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:32:43
Cloudflare DNS,1.1.1.1,391.731,0.0,2026-05-06 10:32:26
Home Router,172.20.10.1,5.53656,0.0,2026-05-06 10:32:22
My PC,172.20.10.5,0.527859,0.0,2026-05-06 10:32:22
Google DNS,8.8.8.8,82.9418,0.0,2026-05-06 10:32:19
Local Machine,127.0.0.1,0.607491,0.0,2026-05-06 10:32:19
Router1,8.8.8.8,75.8772,0.0,2026-05-06 10:32:16
Localhost,127.0.0.1,0.753641,0.0,2026-05-06 10:32:16
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:32:13
Cloudflare DNS,1.1.1.1,35.4388,0.0,2026-05-06 10:31:55
Home Router,172.20.10.1,38.5838,0.0,2026-05-06 10:31:52
My PC,172.20.10.5,0.483513,0.0,2026-05-06 10:31:52
Google DNS,8.8.8.8,35.6119,0.0,2026-05-06 10:31:49
Local Machine,127.0.0.1,0.547886,0.0,2026-05-06 10:31:49
Router1,8.8.8.8,114.244,0.0,2026-05-06 10:31:46
Localhost,127.0.0.1,0.492573,0.0,2026-05-06 10:31:46
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:31:42
Cloudflare DNS,1.1.1.1,33.3984,0.0,2026-05-06 10:31:25
Home Router,172.20.10.1,4.75955,0.0,2026-05-06 10:31:22
My PC,172.20.10.5,0.458717,0.0,2026-05-06 10:31:22
Google DNS,8.8.8.8,65.5677,0.0,2026-05-06 10:31:19
Local Machine,127.0.0.1,0.398159,0.0,2026-05-06 10:31:19
Router1,8.8.8.8,41.1818,0.0,2026-05-06 10:31:16
Localhost,127.0.0.1,0.456095,0.0,2026-05-06 10:31:16
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:31:12
Cloudflare DNS,1.1.1.1,101.041,0.0,2026-05-06 10:30:55
Home Router,172.20.10.1,19.9871,0.0,2026-05-06 10:30:52
My PC,172.20.10.5,0.535965,0.0,2026-05-06 10:30:52
Google DNS,8.8.8.8,139.687,0.0,2026-05-06 10:30:49
Local Machine,127.0.0.1,0.550508,0.0,2026-05-06 10:30:49
Router1,8.8.8.8,66.1817,0.0,2026-05-06 10:30:45
Localhost,127.0.0.1,0.616312,0.0,2026-05-06 10:30:45
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:30:42
Cloudflare DNS,1.1.1.1,105.924,0.0,2026-05-06 10:30:25
My PC,172.20.10.5,0.777245,0.0,2026-05-06 10:30:22
Home Router,172.20.10.1,4.78983,0.0,2026-05-06 10:30:21
Google DNS,8.8.8.8,161.901,0.0,2026-05-06 10:30:18
Local Machine,127.0.0.1,0.566244,0.0,2026-05-06 10:30:18
Router1,8.8.8.8,104.484,0.0,2026-05-06 10:30:15
Localhost,127.0.0.1,0.720739,0.0,2026-05-06 10:30:15
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:30:12
Cloudflare DNS,1.1.1.1,42.4139,0.0,2026-05-06 10:29:54
Home Router,172.20.10.1,9.32407,0.0,2026-05-06 10:29:51
My PC,172.20.10.5,0.477314,0.0,2026-05-06 10:29:51
Google DNS,8.8.8.8,41.3632,0.0,2026-05-06 10:29:48
Local Machine,127.0.0.1,0.518322,0.0,2026-05-06 10:29:48
Router1,8.8.8.8,51.1997,0.0,2026-05-06 10:29:45
Localhost,127.0.0.1,0.771999,0.0,2026-05-06 10:29:45
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:29:42
Local Machine,127.0.0.1,1.52,0.0,2026-05-06 10:29:31
Local Machine,127.0.0.1,0.96,0.0,2026-05-06 10:29:26
Cloudflare DNS,1.1.1.1,64.5349,0.0,2026-05-06 10:29:24
Local Machine,127.0.0.1,1.05,0.0,2026-05-06 10:29:21
Home Router,172.20.10.1,4.53568,0.0,2026-05-06 10:29:21
My PC,172.20.10.5,0.668764,0.0,2026-05-06 10:29:21
Google DNS,8.8.8.8,114.774,0.0,2026-05-06 10:29:18
Local Machine,127.0.0.1,0.592947,0.0,2026-05-06 10:29:18
Local Machine,127.0.0.1,1.03,0.0,2026-05-06 10:29:16
Router1,8.8.8.8,65.1708,0.0,2026-05-06 10:29:15
Localhost,127.0.0.1,0.537872,0.0,2026-05-06 10:29:15
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:29:11
Cloudflare DNS,1.1.1.1,44.0693,0.0,2026-05-06 10:28:54
Home Router,172.20.10.1,5.88202,0.0,2026-05-06 10:28:51
My PC,172.20.10.5,0.451088,0.0,2026-05-06 10:28:51
Google DNS,8.8.8.8,57.1408,0.0,2026-05-06 10:28:48
Local Machine,127.0.0.1,0.684261,0.0,2026-05-06 10:28:48
Router1,8.8.8.8,41.3995,0.0,2026-05-06 10:28:44
Localhost,127.0.0.1,0.423908,0.0,2026-05-06 10:28:44
Core Router 01,192.168.1.1,0.0,100.0,2026-05-06 10:28:41
Cloudflare DNS,1.1.1.1,51.1773,0.0,2026-05-06 10:28:24
